task, time
addition, 1.33788956619953
target, 3.32953466832144
addition, 1.5053141204861
target, 2.26078974881392
addition, 1.67726262515141
target, 2.87376001569659
addition, 1.26794885241647
target, 2.36928732149849
addition, 1.89095908739419
target, 2.92630303978211
addition, 1.78795996527266
target, 2.03862229085794
addition, 1.44661148497981
target, 3.13691377256592
addition, 1.56542997388626
target, 3.67439887539855
addition, 1.40111200089656
target, 2.52938541648316
addition, 1.92589099803303
target, 3.27650575953722
addition, 1.5807556305361
target, 2.17882296089606
addition, 1.51378227088211
target, 2.35874878474859
addition, 1.39316287429317
target, 3.0312770490343
addition, 1.46506900821592
target, 2.75891763556474
addition, 1.91102169402065
target, 2.19239675671885
addition, 1.56268859447712
target, 2.54667320812251
addition, 1.51763583184458
target, 2.25584068761808
addition, 0.90941948077134
target, 2.75833774597021
addition, 2.06656507083642
target, 3.4785989222288
addition, 1.60244045992545
target, 2.68554184014971
addition, 1.44090279242461
target, 2.18997564033069
addition, 1.27661573341865
target, 2.78613590094999
addition, 1.86687654343141
target, 3.21561651155337
addition, 2.20575062929501
target, 3.43045401055286
addition, 1.92123219715271
target, 1.95733762530173
addition, 1.4273781515983
target, 3.1885359312683
addition, 1.58206459186005
target, 2.78398392923411
target, 1.70544795350283
addition, 1.772325694701
addition, 2.3071853050004
target, 3.18010073651161
addition, 1.76603299470041
target, 2.32923455610713
addition, 1.22130312980699
target, 2.91228827771049
addition, 1.75119009527492
target, 2.95659276923712
addition, 1.81301941089204
target, 3.12832619531452
addition, 1.89917820041864
target, 4.22596996515615
addition, 1.08856587192427
target, 3.27403436168484
addition, 0.975776875963493
target, 1.9461464607421
addition, 1.4357084316093
target, 2.62554116234698
addition, 1.320044934759
target, 3.19111719616785
addition, 1.85320350274717
target, 2.92282009214539
addition, 1.23966438279228
target, 2.04068638088282
addition, 1.38937575708866
target, 1.82984300723402
addition, 2.62285201598521
target, 4.86483387044998
addition, 1.44068073517758
target, 2.67440447487017
target, 2.11002785960966
addition, 2.53398333191161
addition, 0.986208768256515
target, 3.36186482665184
addition, 1.66559582815458
target, 2.82522399795716
addition, 2.47250084356809
target, 3.32518738786662
addition, 1.99105418095559
target, 3.16051385661063
addition, 1.57304635076044
target, 3.34308442375133
addition, 1.5293487208482
target, 2.03957129953075
addition, 1.12046305958877
target, 2.13061214394381
addition, 1.48904577841453
target, 3.42862762293442
addition, 1.56791812296016
target, 3.03574973765349
addition, 1.71334168499783
target, 2.16828804696994
addition, 1.31316439807882
target, 2.28559349404416
addition, 1.62010562036752
target, 2.66356497177534
addition, 1.52181425217319
target, 2.82050586274206
addition, 1.40462336956127
target, 3.07195784729646
addition, 1.58319410540642
target, 1.98598937560028
addition, 0.87569515203366
target, 2.75879713474924
addition, 1.62270201025939
target, 3.35452313641839
addition, 1.57585281131279
target, 2.08122886501766
addition, 0.915187298663134
target, 2.92861469660805
addition, 1.22763715018788
target, 2.73241547035262
addition, 1.72862228572908
target, 2.06640705612245
addition, 1.50729691972393
target, 3.3563135347238
target, 4.02027244475337
addition, 4.30455434220678
addition, 1.36654131908825
target, 2.30422951440433
addition, 1.35915142836372
target, 2.80464552374778
addition, 1.66401531264434
target, 3.45728597708055
addition, 1.51167176731977
target, 1.81243138051713
addition, 1.38451380688501
target, 3.10237460779123
addition, 1.39353570667706
target, 2.88865779766966
addition, 1.5714614527041
target, 2.59816482761143
addition, 2.08402819662145
target, 2.92774244340472
addition, 1.51799016802108
target, 2.38379778821627
addition, 2.29361959805202
target, 3.53581920029423
addition, 0.872837593345289
target, 1.90587970937471
addition, 1.62655563455404
target, 2.03640195467817
addition, 1.46743346894972
target, 3.36276055726232
addition, 1.4088580598406
target, 2.57101449924885
addition, 0.991015012394069
target, 3.61139212432036
addition, 1.48565065298309
target, 2.82764309912071
addition, 0.940990141892086
target, 2.85236368966437
addition, 1.5740501170862
target, 2.51819134565735
addition, 2.35800247289511
target, 3.18666806880971
addition, 1.62188118838786
target, 2.46242817019561
addition, 1.51817217897527
target, 5.4802398895855
addition, 1.74710652389827
target, 2.09402168044432
addition, 2.51604493466761
target, 3.59958383848922
addition, 1.3742655519753
target, 2.00554769860275
addition, 1.78802034055762
target, 3.73505561796952
addition, 1.14296663059701
target, 2.12284608693852
addition, 1.5805729923718
target, 2.07120784220627
addition, 1.82188165368328
target, 4.45060945074241
addition, 1.03257003972331
target, 2.83515264082482
addition, 0.859157697199087
target, 1.79425409271263
addition, 1.44038616913036
target, 3.90570134221153
addition, 1.85865652688469
target, 3.4997781891074
addition, 2.0590157044022
target, 2.05998282520502
addition, 1.4001848534142
target, 2.2433092567675
addition, 1.00184960647032
target, 2.77040220336574
addition, 1.94507763531377
target, 3.2189540333611
addition, 2.10728496518761
target, 2.30827500982847
addition, 1.69495148198818
target, 3.69440827007668
addition, 1.39420714916456
target, 2.82583358272071
target, 3.72295853536375
addition, 3.86338603866392
addition, 1.63821045545331
target, 2.16198471185611
addition, 1.94489314977863
target, 3.35008591011499
addition, 1.71591052080765
target, 2.85441374633671
addition, 0.967259840841822
target, 3.23828115072645
addition, 1.56785652997418
target, 2.82271096407001
addition, 1.97024489136976
target, 2.34708615688663
addition, 1.67453094602724
target, 2.23198386238347
addition, 0.936821041184028
target, 2.93613911068433
addition, 2.01349502903182
target, 2.92140967983926
addition, 1.28297909920341
target, 3.06396250155574
addition, 2.0434887132164
target, 2.3302719258116
addition, 1.92215010790854
target, 2.34063098978128
addition, 1.65325973027479
target, 2.34707628607158
addition, 2.25574531799425
target, 2.74887385238121
addition, 1.62324039958758
target, 4.00057677079082
addition, 2.05387340753842
target, 3.08995820610184
addition, 1.13202928445469
target, 1.85267468637824
addition, 2.41239698686103
target, 3.27727859343821
addition, 0.907898691697526
target, 3.59674617219342
addition, 2.22980516615797
target, 4.24853581550619
addition, 1.59868800697542
target, 1.85945399932001
addition, 0.956850625890749
target, 1.85847768644905
addition, 1.66911997397802
target, 2.03740443458391
addition, 2.07450534817872
target, 3.67418498874991
addition, 1.36376744361162
target, 3.39155562885797
addition, 1.88741202984222
target, 3.42792425799472
addition, 2.44510382286075
target, 3.40124539318773
addition, 1.3987086010925
target, 2.03695393727758
addition, 1.69439264815365
target, 2.97476834291185
addition, 1.37470438520224
target, 2.79587360756202
addition, 1.34695355124057
target, 2.75492626974772
addition, 1.51340825321128
target, 3.28224188420221
addition, 1.57731807124357
target, 2.48590429321461
addition, 1.33479030120615
target, 3.6469307424902
addition, 1.73152099907843
target, 1.92198583043868
addition, 1.46590293021326
target, 2.69971379335295
addition, 0.884346075776799
target, 1.94448099258232
addition, 1.59985498446733
target, 2.96926765800092
addition, 2.16901429427225
target, 3.08474909582113
addition, 1.87946024021786
target, 6.43844562551105
addition, 0.944968788844696
target, 2.3814328534425
addition, 1.56653786355699
target, 3.81842005993696
addition, 1.657394002258
target, 1.76440298006291
addition, 1.81214348327751
target, 3.06356395648834
addition, 2.17984924703081
target, 3.12217308916606
addition, 1.24312488366193
target, 2.68889692380898
addition, 1.67999892952657
target, 1.92469632483477
addition, 1.82139324853178
target, 3.22843170991145
addition, 1.6937219608221
target, 2.84793033283224
addition, 0.944579503074287
target, 6.68162259043777
addition, 1.87372692060517
target, 2.27913558277666
addition, 1.44395501865453
target, 3.17639740346883
addition, 2.27803651146312
target, 3.24509414258946
addition, 1.80379028026551
target, 2.89376325361813
addition, 1.01393189976121
target, 2.1209060031827
addition, 3.36739947537473
target, 3.51739947537473
addition, 1.65658718315569
target, 1.93571875751485
addition, 1.45314773713324
target, 2.39527427000585
addition, 1.44725104490714
target, 3.3449275315858
addition, 2.45200523330688
target, 2.75569036579529
addition, 0.9818614775971
target, 2.80515376851614
addition, 1.41004420706309
target, 2.84668965415191
target, 3.16129257600565
addition, 4.34911153653193
addition, 1.40081471241798
target, 2.29215166886542
addition, 1.3690966841235
target, 2.20950522459678
addition, 1.89710071957434
target, 2.66890055798283
addition, 1.6789454090641
target, 2.80466845403239
addition, 1.99105631247698
target, 2.93595038208185
addition, 1.80455752364626
target, 2.96187600875494
addition, 0.954084800208701
target, 2.01521578864761
addition, 1.88628942365518
target, 2.92431699570227
addition, 1.52316120185392
target, 2.93320335956752
addition, 1.50040356569835
target, 2.41662576529725
target, 2.12392363833721
addition, 2.92780414408492
addition, 1.62084602229298
target, 2.42087877018182
addition, 1.35767797016183
target, 2.19179359376319
addition, 1.37061703881807
target, 3.42090025120796
addition, 2.26090345511776
target, 3.1586053457046
addition, 0.988238682000536
target, 2.46105628028443
addition, 1.43248353644434
target, 2.71136523492233
addition, 1.85004092157458
target, 2.51487560345402
addition, 1.70149526983046
target, 1.8537010711639
addition, 1.21585627770397
target, 2.58018187840671
addition, 1.64188685530885
target, 2.80054634929359
addition, 3.7329342486258
target, 4.42937717196021
addition, 1.94529508907923
target, 2.94119005622766
addition, 1.66212244814289
target, 3.87867560449393
addition, 0.953399065399007
target, 2.82814081598265
addition, 2.35990162988221
target, 3.69897067499862
addition, 1.54724563475153
target, 2.0271198655761
addition, 2.36866296318766
target, 3.06835214832957
addition, 1.14891151652155
target, 3.01780112318234
addition, 1.4938327244114
target, 4.46442145045932
addition, 2.25111272520304
target, 2.40111272520304
addition, 1.97264038820358
target, 2.25398690496197
addition, 1.99615266694554
target, 2.83982569399298
addition, 1.00313893601703
target, 3.59976000400382
addition, 1.58590037979251
target, 3.14094125334454
addition, 1.47940105967261
target, 2.88387987881516
addition, 1.67418228450673
target, 1.90905216761036
addition, 1.78112392618165
target, 3.31159364833315
addition, 2.93076534452102
target, 3.09918460866627
addition, 1.03968190462807
target, 2.8048450803749
addition, 1.74542812289826
target, 2.5839410535752
addition, 1.72966748436454
target, 2.70621658812363
addition, 1.47690296127752
target, 1.97161584572798
addition, 1.69375656387608
target, 3.83597367905012
target, 2.52352587951348
addition, 2.97001250141046
target, 1.65583411503472
addition, 1.88005622950381
addition, 1.41995348043429
target, 3.01838658766614
addition, 1.41040514085634
target, 2.44144854833932
addition, 1.10558541790253
target, 2.91977157510742
addition, 1.52325974493885
target, 2.78675986866978
addition, 1.52745677775583
target, 2.41973654088261
addition, 2.0327782932043
target, 2.10621831872097
addition, 1.36286965060313
target, 2.49586098857443
target, 2.39758842866425
addition, 2.54947511353801
addition, 1.49065105348017
target, 2.03474165947987
addition, 1.39415758778983
target, 2.87574883795757
addition, 1.40077983784125
target, 2.14711548460472
addition, 0.96157672723093
target, 2.69399917052509
addition, 1.61526629606379
target, 4.36303969711489
addition, 0.959214895861061
target, 2.22309535200512
addition, 1.56001693744961
target, 2.36958280238836
addition, 1.52404613330825
target, 2.98176801970114
addition, 3.35698291268295
target, 4.87935766224545
addition, 1.37501016858731
target, 2.20641688392368
addition, 2.37749051945105
target, 2.91441225093857
addition, 1.92641431412871
target, 2.33166246847965
addition, 0.990347994504791
target, 2.53990964457474
addition, 2.2217170964511
target, 2.91042959912065
addition, 1.14235736761571
target, 3.80951392691439
addition, 1.52476823395586
target, 2.06396381056933
addition, 1.56316445997355
target, 3.37987070019204
addition, 1.28656614462738
target, 2.66789352011271
addition, 2.06959224198336
target, 2.8955244782381
addition, 1.46575694357181
target, 2.76128945216528
addition, 1.80282790313953
target, 2.89928799777025
addition, 0.993750635809476
target, 3.21520018247626
addition, 1.60883908195095
target, 2.99580231667433
addition, 1.15196502807046
target, 2.82607761427086
addition, 2.27374334722609
target, 3.39298219090591
addition, 1.24766357148479
target, 3.07847713431542
addition, 1.01210074032542
target, 2.01300759655003
addition, 1.35782506789925
target, 1.94167486073567
addition, 1.66729502382171
target, 4.61424218733332
addition, 2.3306518207091
target, 3.03931642661057
addition, 2.94261942616556
target, 3.06062357853889
addition, 1.83077491367664
target, 3.6863077515535
addition, 0.893587525413861
target, 2.49252537742544
addition, 1.66879188139264
target, 2.6372214070848
addition, 1.56694343542719
target, 2.98197784742114
addition, 0.937806713598956
target, 1.73400168954319
addition, 0.966743156360603
target, 2.77776472430367
addition, 1.86883239855677
target, 2.13270883634643
addition, 1.90278010732724
target, 3.08752514132732
addition, 1.47836950231755
target, 3.49663962361107
addition, 1.62159067236294
target, 2.84381369222421
addition, 1.01898411771705
target, 1.74067092729859
addition, 1.44405493060481
target, 3.05052091148489
addition, 2.10700383941782
target, 3.25395973435407
addition, 1.48640249725427
target, 2.83981545916834
addition, 0.830974844764038
target, 1.7817227970161
addition, 1.55285697416022
target, 2.50780976869804
addition, 0.948325195760935
target, 3.1254046079628
addition, 1.39548063535549
target, 3.17123987047213
addition, 1.49346404390436
target, 2.84877619595885
addition, 1.09571343908864
target, 3.00010682181009
addition, 2.01207749306117
target, 3.37322574536476
addition, 1.65655707965348
target, 2.87328724638939
addition, 1.61489768431295
target, 2.5979227525016
addition, 1.66366953540109
target, 2.31709228227945
addition, 2.34644337981415
target, 2.90339883433878
addition, 1.38874056898045
target, 2.76432531126417
addition, 1.74647201573479
target, 2.86518710459851
addition, 2.05377079155984
target, 2.62653503726801
addition, 0.989436795561382
target, 2.98405265029263
