task, time
target, 1.87490878534704
addition, 3.04451001068525
addition, 1.69575800672499
target, 1.70655764852103
addition, 1.80616206970491
target, 1.90140188148028
addition, 1.23380179320516
target, 1.80891562741958
target, 2.60617565130044
addition, 3.39843809377402
addition, 1.575160417967
target, 2.25009914811716
addition, 1.32173438024931
target, 1.94977177472876
target, 1.73546087880283
addition, 2.2293076727423
target, 1.87699199150364
addition, 2.36815061428167
addition, 2.48836224526262
target, 2.58836224526262
addition, 2.1316687690119
target, 2.2316687690119
addition, 2.26682065780045
target, 2.36682065780045
addition, 1.44279050047079
target, 1.76324127818345
addition, 2.05283757376885
target, 2.15283757376886
target, 1.89178721623076
addition, 2.39321387391144
target, 1.61939125994508
addition, 2.50480625405565
target, 1.54848549207372
addition, 1.69454610741359
addition, 1.59909873642495
target, 1.96342472795055
target, 1.85519977875406
addition, 2.42042588842679
addition, 1.60255893425851
target, 1.66685385881126
target, 1.84463498630972
addition, 2.35699648071856
target, 1.51956840125672
addition, 1.70935219966625
addition, 2.33313258673488
target, 2.43313258673488
addition, 2.85253365287745
target, 2.95253365287745
addition, 1.45966761674605
target, 1.92749273669213
addition, 1.41442007601239
target, 2.03019854773981
addition, 1.26524292776919
target, 1.66209063427517
target, 1.60840989538533
addition, 2.50898782914267
addition, 1.52269017874158
target, 2.46178718436104
addition, 2.23429004999795
target, 2.33429004999795
target, 2.0198404685644
addition, 2.16351776237338
addition, 1.53070125778348
target, 1.78594171013456
target, 1.57713252590532
addition, 2.11682796873689
target, 2.08758703474362
addition, 2.08994588401466
addition, 0.85096841467254
target, 1.62208965543627
target, 1.51496383273442
addition, 1.66635973509866
addition, 2.23971776215129
target, 2.33971776215129
target, 1.70222316148662
addition, 2.31824646266203
target, 1.58491395192138
addition, 2.62474713620134
target, 1.80324168995468
addition, 2.00442750829772
target, 1.948320231616
addition, 2.69565835536555
addition, 1.69979190894246
target, 2.50516626917136
target, 1.84586795039622
addition, 2.67638300078293
target, 2.00705360091192
addition, 2.58561832124324
addition, 1.06112132946328
target, 1.68033033980816
target, 1.84285469225148
addition, 2.84144822389983
target, 1.66893978651642
addition, 2.36341474271069
target, 1.71139864298432
addition, 2.37543634183838
addition, 1.74483321089565
target, 1.92110362697936
addition, 1.89871056878076
target, 1.99871056878076
addition, 1.14623219473088
target, 1.59680417580027
addition, 1.53386666642038
target, 2.18211474446271
target, 1.81389331992523
addition, 2.35910129252586
target, 1.77730848479064
addition, 2.62673258383266
target, 1.98264990735311
addition, 2.1533765222273
target, 1.94719489040075
addition, 2.78169737374227
target, 1.65592521082982
addition, 2.34719273941037
target, 1.65813294464663
addition, 2.3295959358799
addition, 1.63893051733912
target, 1.78736382653613
addition, 1.15719078175522
target, 1.80882276467081
target, 1.93118861085912
addition, 2.02941870920186
addition, 1.98315954950464
target, 2.08315954950464
addition, 1.37435415804745
target, 2.08067724169909
addition, 1.11116716172055
target, 1.56480330312028
target, 1.58093042829
addition, 2.09230858551455
addition, 0.869650328921783
target, 1.68388494135986
target, 1.81772821203326
addition, 2.33140283507095
addition, 1.8398741209309
target, 2.53221911747471
target, 1.63598655793113
addition, 1.86832527676003
addition, 1.81291246050663
target, 1.91291246050663
addition, 1.65104567965063
target, 1.75104567965064
addition, 2.13417946521809
target, 2.23417946521809
addition, 1.08885191182762
target, 1.67463618122938
target, 1.65821701497046
addition, 3.11375791841205
addition, 1.79349701605751
target, 1.89349701605751
target, 1.55635690122949
addition, 1.80596228101644
addition, 2.19087909948939
target, 2.29087909948939
target, 1.55648890045831
addition, 1.74272111468667
addition, 2.08534147838778
target, 2.18534147838778
target, 1.37937128835624
addition, 2.02155229031585
target, 1.69293526391806
addition, 2.42758399310479
addition, 1.53204257073154
target, 2.07794610192817
addition, 1.58808567063642
target, 2.23976682779251
addition, 0.985810258939044
target, 1.74289151902283
addition, 1.79254529962368
target, 1.82281253394052
target, 1.80502238746538
addition, 2.43394245762888
target, 1.61775712857744
addition, 1.81796577463657
target, 1.66740420073099
addition, 1.98888457589554
target, 1.77912293003817
addition, 1.78887674572225
target, 1.84479918034847
addition, 2.70051948069242
addition, 1.79607242782742
target, 1.89971566580996
addition, 1.70133386451728
target, 1.78211239133361
addition, 1.49808121376103
target, 1.84897487842204
target, 1.47719963113097
addition, 2.82930893621432
addition, 2.07068381584575
target, 2.17068381584575
addition, 1.7336571684464
target, 2.03069769364258
addition, 1.23584205182538
target, 1.62319053108677
target, 2.11826265969096
addition, 2.78084789870566
target, 2.18094825052348
addition, 3.00754681948652
addition, 1.82041581433825
target, 1.92041581433825
target, 2.13085257864903
addition, 2.27873882808965
addition, 1.08300283775599
target, 1.80837874608834
target, 1.92430852747904
addition, 2.51442333615871
addition, 1.53062266386196
target, 2.15361475663798
addition, 2.37331369917393
target, 2.47331369917393
target, 1.72917017188403
addition, 1.96515400361562
target, 3.29328073830397
addition, 4.1994409977663
target, 1.65963965941217
addition, 2.22791461268081
target, 1.88422213632324
addition, 2.15066751328889
addition, 2.03361304358268
target, 2.13361304358268
addition, 0.906362045218235
target, 1.75950219727046
target, 1.59648132202417
addition, 3.22114938569309
target, 1.79734985817974
addition, 2.27569121801155
target, 1.98961329660264
addition, 2.88636464729088
addition, 1.2376674888534
target, 1.67148603326918
addition, 1.71233478355693
target, 1.92023353015803
addition, 1.37126255601085
target, 1.80455108827413
addition, 1.63589861656674
target, 1.73589861656674
target, 1.67004443492514
addition, 1.96753214149533
addition, 1.86027592236286
target, 1.96027592236286
target, 1.88902386436517
addition, 2.44270083459442
addition, 1.65191115577695
target, 1.73125668197333
addition, 1.75937958135339
target, 2.56952590587105
addition, 1.5865837349341
target, 2.00007479069411
target, 1.79127669159964
addition, 2.29046884941006
target, 1.84468190628546
addition, 2.03501276264424
addition, 1.55219049683244
target, 1.69044473369076
target, 1.58395295268843
addition, 2.24418637829454
addition, 1.28049853693437
target, 1.67237737853035
target, 1.86742253645534
addition, 2.46442360449114
target, 1.55881626956514
addition, 2.29715892660487
addition, 2.47949994000828
target, 2.57949994000828
addition, 2.0085917897824
target, 2.74344482211348
target, 1.83264086846001
addition, 2.50370318078731
addition, 1.01344994226596
target, 1.61781376143655
addition, 1.62980362865295
target, 1.71354704613767
target, 1.87257336219675
addition, 2.46874891971688
addition, 1.36394722652636
target, 1.81627912632198
addition, 2.22499839257903
target, 2.32499839257903
target, 1.60922117503193
addition, 1.62301253216082
target, 1.97665154943766
addition, 2.48454688628535
target, 1.38788886840307
addition, 2.41547983960192
addition, 2.16657959926453
target, 2.26657959926453
target, 2.03790798819571
addition, 2.24544219127223
target, 1.66588267510771
addition, 2.4135591366093
target, 1.74822019585294
addition, 1.79112588749312
addition, 2.03727869086374
target, 2.63510238853831
addition, 1.77636055392108
target, 1.92660448003554
target, 1.80790486366097
addition, 2.01237946278272
target, 1.65989159515498
addition, 2.75662488747138
target, 1.415825683134
addition, 2.47456652633942
target, 1.73766717826378
addition, 2.22753170353899
target, 1.72531549583515
addition, 1.8773268383923
target, 1.61409556505965
addition, 1.67611455122387
target, 1.96571643355937
addition, 2.01902402946251
addition, 1.78476064559041
target, 1.84591699651816
addition, 1.44880353107372
target, 1.95151308113832
target, 1.70080337754991
addition, 2.43797016555535
target, 1.4951419708417
addition, 2.70462271258073
addition, 1.78627939989253
target, 2.37422343031988
target, 2.14380733193706
addition, 2.949981317256
addition, 1.77604947293972
target, 1.87604947293972
addition, 1.75669586281736
target, 1.90197326099766
addition, 2.0487608838684
target, 2.1498081243876
target, 2.0053176151045
addition, 2.53538258390004
target, 1.82217230438126
addition, 1.87631781594458
target, 1.78203656350192
addition, 8.41141241451137
addition, 1.56171476815995
target, 1.86465282766313
target, 1.68368067304521
addition, 2.50301023525302
target, 2.70153771267471
addition, 3.83063312119135
addition, 1.30332728967367
target, 1.70804535852298
addition, 2.57759680073438
target, 2.67759680073438
target, 1.95525844794112
addition, 2.77016497884107
addition, 1.81888882947029
target, 1.91984526002377
addition, 1.86810848144864
target, 1.96810848144864
target, 1.9915738394627
addition, 2.20979825031093
addition, 1.03255348052582
target, 1.61475100177801
target, 1.77088357344213
addition, 2.69471032852959
addition, 2.49360329150215
target, 2.59360329150215
addition, 1.68446785745079
target, 1.78446785745079
addition, 1.62669276463393
target, 1.73608374343386
target, 1.60189879480828
addition, 2.92697668738877
addition, 1.53061140082077
target, 1.59238806340496
addition, 2.11473953950662
target, 2.21473953950662
target, 1.62711232561525
addition, 2.81960025709254
addition, 1.57664946690383
target, 1.91743665248377
target, 1.56377455021092
addition, 2.24738328615668
target, 1.50402408309789
addition, 1.6357801264651
addition, 1.52418125719306
target, 1.56087741557413
target, 1.90266199560047
addition, 3.60272108215181
addition, 2.23876085345892
target, 2.33876085345892
target, 1.92823481793815
addition, 3.84944755939762
target, 1.61053612901275
addition, 3.35011208818034
target, 1.98092851993409
addition, 2.54553168651015
addition, 1.02913017490112
target, 1.57100333902701
target, 1.83182139301616
addition, 2.65372562237307
addition, 2.08715991001448
target, 2.18715991001448
target, 1.69384823334596
addition, 3.87423753100815
addition, 1.30465682494154
target, 1.96652068780403
target, 1.62862594782264
addition, 2.57318595432123
target, 1.91578145232313
addition, 2.50977855442569
addition, 2.20270672176672
target, 2.30270672176672
addition, 1.74295097664119
target, 2.39174890366627
addition, 0.905429561364271
target, 1.81645260576416
addition, 1.67668763697409
target, 2.50772628756186
addition, 1.65844381232765
target, 2.26010385469675
addition, 2.08668964729491
target, 2.18668964729491
target, 1.46575465882413
addition, 1.7349190634678
target, 1.93666383561529
addition, 2.85946066177887
addition, 1.51106608486742
target, 1.90150685697886
target, 1.67395756724462
addition, 1.71083232727493
target, 1.73373303063481
addition, 3.08937902788598
addition, 1.9692332857236
target, 2.0692332857236
target, 1.72466407006511
addition, 2.63257158134961
target, 1.76234478925547
addition, 2.31412438719959
target, 1.53076405338466
addition, 2.03338718687359
addition, 2.5827323624664
target, 2.6827323624664
addition, 1.58308918750947
target, 2.31631216850714
addition, 1.54897876268846
target, 2.28068353205182
addition, 2.16193268224292
target, 2.26193268224292
target, 2.19476955798337
addition, 3.36411063042398
target, 1.6229248653662
addition, 2.20996335277517
target, 1.68881723224288
addition, 2.1782916681676
target, 1.78919573817582
addition, 2.34620281106576
addition, 1.49341920822951
target, 2.13503396897585
target, 1.55940516282597
addition, 1.91255528617297
target, 2.3242077227389
addition, 2.94062703520769
addition, 1.83493496442844
target, 2.1837715972635
addition, 1.74281608194947
target, 1.85765009849771
addition, 1.25324408515528
target, 1.96652425169544
addition, 1.6751427063318
target, 1.71961370535314
target, 1.64766833741592
addition, 1.72540428606377
addition, 1.38304775529308
target, 1.49036414890259
target, 1.98980063762794
addition, 2.45968211122978
target, 1.73866171414992
addition, 2.61424613008753
addition, 2.66910249719512
target, 2.76910249719512
target, 1.71111757317342
addition, 1.93586715875198
target, 1.93632819016047
addition, 2.0293818495941
addition, 1.44256293857102
target, 1.9963041659325
target, 2.08592905832343
addition, 2.12362224380326
target, 1.59058357339027
addition, 1.63648125420068
addition, 1.87547835979631
target, 1.97547835979631
addition, 2.59257757454451
target, 2.69257757454451
target, 1.74760641316453
addition, 2.58860086109039
target, 1.97616221517346
addition, 2.45150627535929
addition, 1.20400805828408
target, 2.06303641887344
target, 1.73622282351719
addition, 2.07556423957962
addition, 1.28817696133754
target, 1.77516739946427
addition, 1.57491817078194
target, 1.67491817078194
target, 1.97349556705604
addition, 2.62819287688759
addition, 1.28990221911281
target, 1.67793255385879
target, 1.75397404722716
addition, 2.44296563441678
addition, 1.41558922864235
target, 2.09708564473457
target, 1.57751575953351
addition, 2.49270112719518
addition, 1.61739498843299
target, 1.75509451027122
target, 2.07483391298407
addition, 2.68954917067497
addition, 1.04988957792345
target, 1.77899507942163
target, 1.80783047314321
addition, 2.65879698813922
target, 1.67198878047049
addition, 1.98103180555454
target, 1.42985773281281
addition, 1.71370359578436
addition, 1.02822408476461
target, 1.78693364477509
addition, 1.75113506452628
target, 2.45290099381305
target, 1.62105425327079
addition, 1.77582820205274
addition, 2.64392766360614
target, 2.74392766360614
addition, 1.82055111436587
target, 2.03675157014834
addition, 1.02457311760983
target, 1.58802032079645
addition, 1.36352746551653
target, 2.02242718407076
addition, 1.53719648611552
target, 1.6711378323237
target, 2.09687980332223
addition, 2.65941038898258
addition, 0.872960204174166
target, 1.78601455675768
target, 1.64481514980047
addition, 1.71397032321054
addition, 1.60933337561641
target, 1.97332686578527
addition, 1.95125844625363
target, 2.68277000735183
addition, 1.98153842815874
target, 2.08153842815874
