task, time
addition, 1.68280186594394
target, 1.98280186594394
target, 1.98705102509057
addition, 2.496847279985
addition, 2.28632523340315
target, 2.33434901425518
addition, 1.84848685289097
target, 2.14848685289097
target, 2.07673396930908
addition, 2.37247293787338
target, 1.92478397706777
addition, 2.31409394945064
addition, 1.73676915919157
target, 1.77711705139604
target, 1.80484237826355
addition, 1.81524129122843
target, 1.92595096234756
addition, 2.36007976079139
target, 2.00395693153783
addition, 2.59460063570836
addition, 1.49043080405137
target, 1.68323584692123
addition, 1.81116324030755
target, 2.11116324030755
target, 1.99201258238204
addition, 2.02180248799523
addition, 1.61084245666904
target, 1.91084245666904
target, 1.79993273273765
addition, 2.38241836166227
target, 2.12921624867471
addition, 2.51896620399525
addition, 1.72776111548978
target, 1.78409092039585
addition, 1.30259312824749
target, 2.01022744626917
target, 1.77587622544663
addition, 1.87378375201921
target, 2.10832964620579
addition, 2.46715747516687
target, 1.76949440937602
addition, 2.50299303054971
addition, 1.03535409723736
target, 1.5811362684208
addition, 1.75961240920435
target, 2.10690715258337
target, 2.0069961634362
addition, 2.5712033416852
addition, 1.49207631626769
target, 1.79207631626769
addition, 1.57675474447681
target, 1.69971905324901
addition, 1.82028418804873
target, 1.86017275419435
addition, 1.41023268616621
target, 1.63020710835175
addition, 1.65324637011563
target, 1.83717025506529
target, 1.72212464969651
addition, 1.99249098802545
addition, 1.19419728547445
target, 1.8112504303689
target, 2.09232662422919
addition, 3.06395638771837
target, 1.87098504818134
addition, 2.6531739286156
target, 1.89933481010388
addition, 3.26789637172845
addition, 1.84575829697886
target, 2.14575829697886
addition, 1.67463322655281
target, 1.73431509597195
target, 1.84695678409718
addition, 1.85914877390885
target, 1.70424605573055
addition, 2.30890662893182
target, 1.83959809463721
addition, 3.2490185187062
addition, 1.00656531059503
target, 1.89369561138892
addition, 1.5102949036146
target, 1.83674494226218
target, 2.08447355819532
addition, 3.24712412935969
target, 1.78207224254552
addition, 2.4657219025689
target, 1.67100832815644
addition, 2.50568705629112
target, 0
addition, 7.45319554119554
addition, 1.66946918138198
target, 1.89655650641975
target, 1.88627330777447
addition, 1.9749273902432
target, 1.83710442924869
addition, 2.69645715085578
target, 1.73955785750662
addition, 3.37554769624139
addition, 1.74355927622669
target, 2.04355927622669
addition, 1.13283821946272
target, 1.72419789306344
addition, 1.74876992869993
target, 1.94588967277388
addition, 1.75287784564099
target, 2.02511226826822
target, 2.28350750430389
addition, 2.63879778212106
addition, 1.16800063032457
target, 2.3235109285834
addition, 1.75630044180778
target, 2.05630044180778
addition, 1.68256818098386
target, 1.98256818098386
target, 1.66314547852325
addition, 2.26713156874508
target, 2.30131745296445
addition, 2.94851355897989
addition, 1.7789300943769
target, 2.0789300943769
target, 1.88906967581181
addition, 2.14776819106768
target, 1.93810720529478
addition, 2.79188594503451
addition, 0.944707675359687
target, 1.97480756556637
addition, 1.22166728602269
target, 1.80458049730386
target, 3.16137810183825
addition, 3.88204666940635
addition, 1.1028282408409
target, 1.60992956304039
target, 1.7871316366678
addition, 2.50483076152533
addition, 1.50820403755123
target, 1.66331388825037
addition, 1.04563783286654
target, 1.78666640785127
target, 1.87143834336906
addition, 2.56399508400594
target, 1.78377842243781
addition, 1.87500443323862
target, 1.77064297852773
addition, 2.04812749010667
addition, 1.33975925523871
target, 1.78762980228823
target, 1.68671744521908
addition, 2.14972290808822
target, 1.77288145912136
addition, 2.07448250821656
addition, 1.52791179483488
target, 1.82791179483488
addition, 2.05025745592076
target, 2.35025745592076
addition, 1.46691357439429
target, 2.02457937994317
target, 1.73903633090385
addition, 2.52047984253514
target, 1.62021137798667
addition, 2.21206810569418
target, 1.55057545871718
addition, 1.97417835801323
addition, 1.84771246460311
target, 2.14771246460311
target, 1.77423841735063
addition, 2.3612685340902
addition, 1.29814025011301
target, 1.71514224406313
target, 1.81188311940342
addition, 2.1547801176859
target, 1.83122792289247
addition, 2.1512134774634
addition, 1.01843699248008
target, 1.68148016067983
target, 1.99065621847513
addition, 2.61365995778721
target, 1.70451144214263
addition, 2.28133403164273
target, 1.60328548775853
addition, 2.34782751978959
target, 1.66443493349035
addition, 2.24452238063769
addition, 1.65865174644884
target, 1.986663182492
addition, 1.5389782401908
target, 1.62315394584233
target, 1.7573181617428
addition, 2.42012313847577
target, 1.72983903214436
addition, 2.43213247699037
addition, 1.34627679940649
target, 1.90914822329957
addition, 1.32777941691681
target, 1.79317462352197
target, 1.81630878268573
addition, 5.02525017132457
addition, 1.58266402663249
target, 1.88266402663249
addition, 1.54714032658868
target, 1.84714032658868
addition, 1.61250091829358
target, 1.93040782921507
addition, 1.71594759209468
target, 2.01594759209468
target, 2.00921781800606
addition, 2.27862828154063
target, 1.6539293294529
addition, 2.11755396830288
addition, 1.66503500328248
target, 1.98486974247716
addition, 0.929125839394871
target, 1.93099648361116
target, 1.93332036785933
addition, 3.65256887944137
target, 1.63204706246859
addition, 1.98839237252411
addition, 1.78191763772994
target, 2.08191763772994
target, 1.77260498862149
addition, 1.79816883406264
addition, 0.995327192616797
target, 1.68692730568954
target, 1.50831037130834
addition, 1.52186195997311
target, 2.06234294119397
addition, 2.20892215958901
target, 1.80918240201358
addition, 2.28121115799129
addition, 1.14195198510294
target, 2.08243233697671
target, 1.74440449377194
addition, 2.08880526507129
addition, 1.02761370032291
target, 1.87141612395215
target, 1.69862149826382
addition, 1.71862688244373
target, 1.54173016776864
addition, 2.21749745782646
addition, 1.21564029532661
target, 1.75316665623554
addition, 1.54309155593246
target, 1.84309155593246
addition, 2.94881073258037
target, 3.24881073258037
target, 2.0453559381134
addition, 2.97429608031677
addition, 1.14819422927531
target, 1.72423682170381
target, 1.93019798124027
addition, 2.18031719512251
addition, 0.82713609555392
target, 1.93432026758548
target, 1.76517227612088
addition, 2.46192135018334
target, 1.90813249488457
addition, 2.33862038052182
addition, 1.17421518788379
target, 1.84939582047737
addition, 1.35973768073666
target, 1.76895744984005
target, 1.81251208801044
addition, 2.43966705406498
addition, 1.66394188138705
target, 2.02300213712669
addition, 1.46896181224806
target, 1.83635850077
addition, 2.14053816003726
target, 2.44053816003726
addition, 1.23572441326823
target, 1.71399719550506
target, 1.88457517515379
addition, 2.50154048262925
addition, 1.38751404432846
target, 1.73528292534327
target, 1.83022796594833
addition, 2.04187002424057
target, 1.94580705294173
addition, 2.57595667625863
target, 1.59316010437037
addition, 1.9552577976292
target, 1.65206477311713
addition, 1.9985389865598
target, 1.68540131671302
addition, 2.01014074921263
addition, 1.66554249818779
target, 1.73364955908272
addition, 1.01351781880585
target, 1.76961992613389
addition, 1.6416794773676
target, 1.9416794773676
target, 2.56612658778912
addition, 3.45963227045405
target, 1.76012364765264
addition, 1.93079234375181
addition, 1.20778136548683
target, 1.75622415497563
addition, 2.09768735719206
target, 2.39768735719206
target, 1.47571586471254
addition, 2.18184848247932
addition, 1.66052223866476
target, 1.66442433218379
addition, 1.44778580327967
target, 1.95029670172731
addition, 0.953431694320659
target, 1.7508541835278
target, 1.72150936388032
addition, 2.1411229987271
addition, 1.77748966286995
target, 2.07748966286995
addition, 2.19242818967943
target, 2.35575439854471
addition, 1.27846334234921
target, 1.90363109402384
target, 1.55771942576161
addition, 1.66222465015099
addition, 1.51938206932194
target, 1.81938206932194
addition, 1.61425045145297
target, 1.93873759772541
target, 2.01661307331288
addition, 2.91383781326891
addition, 1.06987791870319
target, 1.5537214931195
addition, 1.68184499365963
target, 2.127567286578
addition, 1.70762730664175
target, 1.81917402797045
target, 2.11996967071946
addition, 2.46943348297893
addition, 1.96497153460803
target, 2.26497153460803
addition, 2.1998407644256
target, 2.4998407644256
addition, 1.57269384346702
target, 2.03780408060189
addition, 2.05074001316217
target, 2.35074001316217
target, 1.91186042756745
addition, 2.89981086535313
addition, 1.70271724412447
target, 1.75929866264645
target, 1.82218542559086
addition, 2.2927838255548
target, 2.17128867436116
addition, 2.49252934169661
target, 2.00404684040931
addition, 2.331648282261
addition, 1.44694585088608
target, 1.96385563719213
target, 1.72490570485044
