task, time
addition, 2.47410145048119
target, 3.01676849702899
addition, 2.82632822699015
target, 3.79532472445408
target, 2.58212660182626
addition, 3.41976634085938
target, 2.10220210235349
addition, 2.9661925755309
addition, 3.31576748841198
target, 3.40376023860618
addition, 2.94120829159381
target, 4.70576791203384
addition, 3.06205145225939
target, 3.36205145225939
target, 2.28797229272426
addition, 2.92042409997149
target, 2.04972627105965
addition, 2.66266399262108
target, 3.21756141456728
addition, 3.39182690693184
addition, 2.22558629560198
target, 3.21163265368705
target, 2.03851870052631
addition, 2.20838439660441
addition, 2.23124672164851
target, 3.1811680641915
target, 1.86762166242809
addition, 3.59902505328549
addition, 2.53820632776073
target, 3.22869043145882
addition, 2.77146550921961
target, 3.74830441717281
target, 1.99860335540161
addition, 3.13993123724009
addition, 2.10360939622667
target, 2.88862530897743
addition, 2.29538350164698
target, 2.78211370990883
target, 3.55344616498505
addition, 3.72392540745717
target, 2.01489457121433
addition, 2.3842591123583
addition, 2.5892729375707
target, 2.8892729375707
addition, 1.90137387171491
target, 3.66388907591126
addition, 2.07132005495744
target, 3.3059906225831
target, 1.84831313704781
addition, 2.21810470593674
target, 2.72180531003544
addition, 2.89326781998433
addition, 2.72863803585743
target, 3.02863803585743
addition, 2.11615174905288
target, 3.4127930413476
target, 4.08538926311113
addition, 4.47600718209235
addition, 3.00019937152858
target, 3.16913272804445
addition, 3.03244484454554
target, 3.33244484454554
addition, 3.04838106656943
target, 3.39161312609759
addition, 3.29860066493455
target, 4.33738844760144
target, 2.13390853683585
addition, 3.03526780448454
target, 2.87022927611312
addition, 3.30265780863947
addition, 2.84546086176882
target, 4.08361544496949
addition, 2.63924709278412
target, 2.88244152550276
target, 2.85753292719511
addition, 3.13515901139664
addition, 4.33729450383105
target, 4.63729450383105
target, 2.15720651902057
addition, 4.03314358519164
target, 2.11300794368304
addition, 2.68005001792899
addition, 3.55153463144554
target, 3.68703379996968
addition, 2.5021624513037
target, 2.8021624513037
addition, 2.82310793523918
target, 3.25089487284423
addition, 2.62938586882516
target, 2.84517296502508
addition, 3.11074586275142
target, 3.26839565243993
target, 2.08566843737781
addition, 2.71265635461367
target, 1.97581867614916
addition, 2.14113593139019
target, 3
addition, 7.73003863453785
addition, 2.66254462293999
target, 3.65454058678381
target, 3.26963837347403
addition, 3.77316038141012
target, 2.99249794819957
addition, 3.20464626205448
addition, 2.01288715040816
target, 3.26484786780714
addition, 3.05169993324615
target, 4.27357210192097
addition, 2.38485173790646
target, 2.86088312834766
addition, 2.97451930189784
target, 3.95989728982405
addition, 2.875529127936
target, 3.7972596103443
addition, 2.69270416699932
target, 2.95689133683168
addition, 2.52944489296266
target, 3.70220004734403
addition, 2.36940103158062
target, 3.74209898705795
addition, 2.04618681000916
target, 2.29785740870504
addition, 3.48394863156104
target, 3.78394863156104
addition, 2.71578419603277
target, 3.19556060295676
addition, 3.47013950356255
target, 3.96570162035066
target, 2.30718205768982
addition, 2.38615205752192
addition, 3.0996942722002
target, 3.3996942722002
target, 3.2359139859454
addition, 3.81319263640489
addition, 2.18112843117876
target, 3.04798270154972
target, 2.75540879293853
addition, 3.60639818787523
addition, 2.86920218285532
target, 3.8358421569803
target, 2.7095885136721
addition, 2.92938499045997
target, 2.10377488435663
addition, 2.54470011779583
addition, 2.65614835702188
target, 3.26499856136056
addition, 2.15672170352861
target, 2.99368768758325
addition, 2.10297847063027
target, 3.20198453662898
target, 2.85572821111424
addition, 3.02948462738094
addition, 2.40152610628747
target, 2.98453610884944
target, 1.97217432388428
addition, 2.20348837611221
addition, 2.75773111030208
target, 3.10883510299661
addition, 1.8540989258128
target, 2.81946338634182
addition, 1.99633275930024
target, 2.42740304930035
addition, 2.36325241175764
target, 3.75608631708662
target, 2.50440605096983
addition, 3.45492157639752
target, 3.00610653887206
addition, 3.29709269175949
target, 3.485023515765
addition, 4.64316099171698
addition, 2.55423173673565
target, 3.2324973016017
addition, 2.3051037216024
target, 2.77338310493167
target, 2.23290101667395
addition, 4.68475581102579
addition, 3.46543065708117
