task, time
addition, 1.48476041388867
target, 3.2408418981639
addition, 1.67104774621388
target, 3.63608904238179
addition, 2.50440590471238
target, 3.65407719844276
addition, 1.29683684456262
target, 2.71478993578727
addition, 2.77893347739705
target, 3.65640273862571
target, 3.6
addition, 6.13483745876625
addition, 1.3786651391492
target, 3.27737105325747
addition, 1.86377863903724
target, 2.70944722437865
addition, 2.64916735747832
target, 3.44727928776541
addition, 2.17131464406453
target, 3.12487445034152
addition, 1.66600797073921
target, 3.02445017865505
target, 2.47695273482569
addition, 3.02776263186429
addition, 1.58588558638689
target, 2.85786154766711
addition, 2.3024354008462
target, 3.43605760941234
addition, 2.94475635929036
target, 3.09475635929036
addition, 1.90174694174339
target, 3.03116911431786
addition, 2.69146269727474
target, 3.70995274673681
addition, 1.04524272498111
target, 2.86167510124486
addition, 1.69959457998535
target, 3.33361719040468
addition, 2.23105431777644
target, 3.40215981733675
addition, 1.87969772083707
target, 2.24752068766023
addition, 1.19419480348654
target, 2.96504874086944
target, 2.37052881672839
addition, 2.43125791907865
target, 2.14158896599999
addition, 2.95816540553586
addition, 1.81824912519441
target, 1.84726928456255
addition, 2.22102379223684
target, 2.3743772529026
addition, 1.79120301379865
target, 3.06278252784515
addition, 2.28843918481834
target, 3.66666868998768
addition, 2.75567216757689
target, 3.53476173797929
addition, 2.78371913655029
target, 3.55681988513619
addition, 1.08879582984825
target, 2.8367124869974
addition, 2.16068203918948
target, 3.41989527831875
addition, 1.88178552276927
target, 3.08548018602008
addition, 2.19807766858054
target, 4.13222527679619
addition, 1.16146791926816
target, 3.19053367639123
addition, 1.20337207576466
target, 2.14254937712757
addition, 1.82726471718612
target, 3.52545438677793
addition, 1.92676786287912
target, 3.19885988891448
addition, 2.36436044510385
target, 3.65826869860007
addition, 0.921621672300954
target, 3.05880745912121
addition, 1.43765443042459
target, 2.38073001864644
addition, 2.75504131525731
target, 3.85901171819738
addition, 1.6821987067567
target, 3.52438303627917
addition, 1.85305122998828
target, 2.74740941934326
addition, 1.27996534234871
target, 3.60130477377223
addition, 2.06784488887026
target, 3.85952892525013
addition, 1.92496198109448
target, 3.3563226680876
addition, 1.61066142686741
target, 3.4756618201511
target, 2.38662248561365
addition, 2.43657123226446
addition, 1.57620233767517
target, 2.52875378046348
addition, 0.864588208434012
target, 2.17782571892395
addition, 2.07506429468789
target, 3.96464613920778
addition, 2.07389238954363
target, 2.92741829242014
addition, 3.05191598967951
target, 4.17993989849673
addition, 1.50957681443354
target, 2.23559045311371
addition, 1.83197266456539
target, 2.91759488227652
addition, 1.9316971889064
target, 3.64252122460523
addition, 2.64093606326082
target, 3.43061235611602
addition, 1.87138492147496
target, 2.09288895265376
addition, 1.41129617818151
target, 3.46483503358134
addition, 1.90918634477677
target, 3.95006897531894
addition, 1.7526611078979
target, 3.98826411690344
addition, 1.38899607435065
target, 3.04992737124649
addition, 1.26509278224623
target, 2.76987110241098
addition, 1.65418983590512
target, 2.45850653817734
addition, 1.45622287213888
target, 3.20523948713875
addition, 2.01392181859724
target, 3.18280600630152
addition, 1.75485760916221
target, 1.99681500435516
addition, 1.18794465750411
target, 2.83316437782665
addition, 1.81627033607346
target, 3.96174601744951
addition, 1.76924659879307
target, 2.05148732786475
addition, 2.37925575935221
target, 3.60159409942111
addition, 1.45170174136591
target, 3.29332571286602
addition, 1.52080237853195
target, 3.19585234112648
addition, 1.04096988318948
target, 2.88264144197465
addition, 2.19307205657109
