task, time
target, 2.02719543736166
addition, 3.35100395239084
target, 4.0542458484925
addition, 5.13141389532433
target, 1.80704263929756
addition, 3.7936508051605
target, 1.99488825637914
addition, 3.53632132379002
target, 2.33984216174349
addition, 3.53791271792307
target, 2.12004736226197
addition, 3.2144767877293
target, 1.99436078635122
addition, 3.6275437900646
target, 2.04655318545546
addition, 3.71225022221878
target, 2.02376497145654
addition, 3.41772290465484
target, 1.9730611344527
addition, 3.42753138601488
target, 1.9464398322138
addition, 3.23161146094189
target, 1.86956420471687
addition, 2.94851545263942
target, 1.89809632904566
addition, 3.93735068306687
target, 2.293986497195
addition, 3.76416991514689
target, 1.84993147298336
addition, 2.96356384665301
target, 1.71817159157683
addition, 2.83496503870653
target, 2.0306411945887
addition, 3.0277701080805
target, 4.2996772456206
addition, 5.99899256917054
target, 1.78504279146533
addition, 3.43320289784881
target, 2.1618970394647
addition, 3.36914861601984
target, 2.48567534310567
addition, 3.57703551348914
target, 1.63221232794066
addition, 2.74015256789502
target, 2.13613630213597
addition, 3.69280396954731
target, 2.18972343992746
addition, 3.74327639648178
target, 1.7814361013032
addition, 2.99141898210821
target, 2.03295831545319
addition, 3.2799888171843
target, 2.11404353149255
addition, 3.46261760449205
target, 1.84759444816349
addition, 3.44850615199965
target, 1.76913011414059
addition, 3.31128148592827
target, 2.05210619940472
addition, 3.38460278229144
target, 1.82804726494329
addition, 3.0224562232152
target, 1.88501628382717
addition, 5.38604203604707
target, 1.92708926415645
addition, 3.41506896405601
target, 4.34926127304628
addition, 6.05497097055998
target, 2.03370833729768
addition, 3.49005494389797
target, 1.89457557732441
addition, 3.03786671423859
target, 2.30425026408729
addition, 4.68792743928159
target, 1.85570786683935
addition, 3.14441090283457
target, 1.9505805441099
addition, 3.3849853845646
target, 2.27624191757665
addition, 4.58378248207045
target, 1.84127268774077
addition, 2.85581964305502
target, 2.11802229000268
addition, 4.58528297958553
target, 2.09282060103637
addition, 3.65216303248892
target, 1.9074571438571
addition, 3.13355337236212
target, 1.85416284637489
addition, 3.60974237072584
target, 2.19422735864235
addition, 3.29904361856007
target, 1.7494943463509
addition, 3.552451722152
target, 1.91969554428173
addition, 3.41010992918363
target, 2.25787024289117
addition, 3.91903657655423
target, 4.45737963017605
addition, 5.75148172188375
target, 1.84804271143347
addition, 3.09708495508398
target, 2.06158642215001
addition, 3.92170844257446
target, 2.4502329654634
addition, 3.70612564041649
target, 1.94070373725067
addition, 3.45530421566928
target, 2.03569076894763
addition, 3.52855778966112
target, 2.39427585112251
addition, 3.4672606834869
target, 1.7626094402066
addition, 3.69655940933812
target, 1.8505884536499
addition, 3.37742906972931
target, 2.09676972493732
addition, 3.29206453349512
target, 1.91065264240669
addition, 3.31116852849882
target, 2.07769555736592
addition, 3.22770646425936
target, 2.19785171333632
addition, 3.74426577517995
target, 1.97310506636585
addition, 3.23191739365034
target, 1.8410416776072
addition, 3.52779581175872
target, 1.99065561437197
addition, 3.29320918627318
target, 4.66970075707251
addition, 6.28474387638517
target, 1.98970914851012
addition, 3.68674538744664
