task, time
target, 1.71018439294304
addition, 2.52213277363198
target, 1.74079037645243
addition, 2.66437597624565
target, 1.5851205334286
addition, 2.3235653921131
target, 1.52917462569159
addition, 2.51259048644758
target, 1.71182117779247
addition, 2.65743779461423
target, 2.24898322260153
addition, 3.07219786593636
target, 1.6154398257736
addition, 2.26532811742728
target, 1.51148309655866
addition, 2.25244223370297
target, 1.56511212735128
addition, 1.95990327307457
target, 1.96439094133748
addition, 2.95975191045774
target, 1.44578813391211
addition, 2.42168313758851
target, 1.67039580555332
addition, 2.47010752931663
target, 1.67327692129564
addition, 2.0002820764816
target, 2.11029316924556
addition, 2.93582859974308
target, 1.75987637782883
addition, 2.30689557381341
target, 1.55139902611675
addition, 2.2484953561222
target, 1.60425325615271
addition, 2.06434325863468
addition, 1.80639268989283
target, 1.92878600032461
target, 1.66609357862889
addition, 1.6793137059185
target, 1.94636821965959
addition, 2.46184875697357
addition, 1.4723655637445
target, 2.17253104876594
target, 1.6657813697848
addition, 2.52248404346319
target, 1.8645504419846
addition, 2.61684804940336
target, 1.63972220032266
addition, 2.65398350476701
addition, 1.79652581188884
target, 1.89652581188884
target, 1.72604944614535
addition, 1.73488767659322
target, 1.68897141439123
addition, 2.13863902744515
target, 1.35603173092172
addition, 2.12865288491844
target, 1.86788857172636
addition, 2.73032476017425
addition, 2.44952111077948
target, 2.54952111077948
target, 1.60524316157612
addition, 2.31417711944757
target, 2.17296419671489
addition, 2.69245487475078
target, 1.54025248242446
addition, 2.35341342319329
target, 1.75279130012377
addition, 5.13605006979871
target, 1.8449257525167
addition, 2.66045376594206
target, 1.46496383273442
addition, 2.18289246329638
target, 1.66719585173439
addition, 2.57901032084212
target, 1.58892954495035
addition, 2.30575432112949
target, 1.61069846996289
addition, 2.16986291550219
target, 3.73757445925234
addition, 5.27252750780099
target, 1.6805215998888
addition, 1.83975135203529
target, 2.01904996777223
addition, 2.82420653590212
target, 1.42916070072285
addition, 1.8662599699074
target, 1.73692423669143
addition, 2.5688165315185
target, 1.59117407214471
addition, 2.64827635550828
target, 1.7066965582181
addition, 2.10277667158887
target, 1.50955313925654
addition, 2.3264922545148
target, 1.86940467137253
addition, 2.77861141195414
target, 1.8
addition, 7.34290671877936
target, 1.55283293735525
addition, 4.63251095658655
target, 1.89639053326416
addition, 2.11126288274843
target, 1.92862670873805
addition, 2.18268298929745
target, 1.6750943385135
addition, 2.36664917297737
target, 3.05821141582454
addition, 4.229744922388
target, 1.97754571159573
addition, 2.59001271483396
target, 1.65148334599138
addition, 2.57539731390504
target, 1.91283321899412
addition, 2.15827366333441
target, 1.54126666817162
addition, 2.25275668181231
target, 1.5907922962405
addition, 3.02926289487113
target, 1.94482335845129
addition, 2.66012135155133
target, 1.80795010213488
addition, 2.59910419224233
target, 2.14915175626806
addition, 2.99004367783002
addition, 2.01917999921125
target, 2.7736137998723
target, 1.55327777041549
addition, 3.06397090222262
target, 1.78973602062667
addition, 2.56176864531903
addition, 1.5415733888041
target, 2.3174191384394
target, 1.68398759211807
addition, 2.61238983404798
target, 1.71954750063496
addition, 2.66714986662509
target, 1.67971228351533
addition, 2.52795512947994
target, 1.59349612184133
addition, 2.43234896242698
target, 1.69714248761775
addition, 2.47213284668108
addition, 2.1834748592669
target, 2.2834748592669
target, 1.74316273125107
addition, 2.45776195083468
target, 1.63949769650808
addition, 3.26113946302426
target, 1.61865314308038
addition, 1.86356058265941
target, 1.55302619149131
addition, 2.55054868128068
target, 1.82065264563856
addition, 2.0110085090829
target, 1.71185240988753
addition, 2.02543122961493
target, 1.76159631629495
addition, 2.3295011818641
target, 1.40768252225046
addition, 1.96412927625775
target, 1.41765611939853
addition, 1.98197296293899
target, 3.62868279507669
addition, 6.86596618540831
target, 1.53754399068965
addition, 1.87487400280007
target, 1.89966268323087
addition, 2.88492315045466
target, 1.76745319945379
addition, 2.58655979140014
target, 1.94888294811727
addition, 1.986507699959
target, 3.54652175110754
addition, 4.34806287361694
target, 1.56207953645175
addition, 2.98135197433141
target, 1.63930771370041
addition, 3.43283261591414
target, 1.71985812269595
addition, 2.59687518979708
target, 1.5359779371049
addition, 2.50857005283261
target, 1.73250068266342
addition, 2.82208169953775
target, 1.5612134270953
addition, 1.8463232490476
target, 1.3976845926494
addition, 2.58402434048328
target, 1.64876736066034
addition, 1.70651039461703
target, 1.70674136098706
addition, 2.61485232167916
target, 1.68198423423115
addition, 2.45967771183162
target, 4.51625664665141
addition, 6.35874750242039
target, 2.02686755375604
addition, 3.41773870147593
target, 1.56662684424494
addition, 2.79539765971737
target, 2.17301032761497
addition, 2.62855811332584
target, 2.56436399543331
addition, 3.05271272772802
target, 1.71188876707713
addition, 3.38873860110407
target, 2.07297861807657
addition, 2.46669941579688
target, 1.61664232602518
addition, 1.97284659959106
target, 1.98168763635329
addition, 3.32709419954115
target, 1.84650405455631
addition, 2.77352278466835
addition, 2.16446084948883
target, 2.26446084948883
target, 2.22137697674516
addition, 3.18245121012699
target, 1.73346963239942
addition, 2.36728774065545
target, 1.6862955308759
addition, 2.55253569327583
target, 1.56953444939117
addition, 3.75023435192694
target, 1.74844660917768
addition, 2.09827346435884
target, 1.7
addition, 7.24090228889357
target, 1.68006114494698
addition, 2.20254047359699
addition, 2.04271243121601
target, 2.07334334260003
target, 1.80127096480087
addition, 2.65967952908285
target, 1.43977213208218
addition, 2.41321906551924
target, 1.97308458035662
addition, 2.94994188389292
target, 1.85001463685966
addition, 3.0496247680924
target, 1.56204900051506
addition, 2.3591713164854
target, 1.63397185214113
addition, 2.10154584636829
target, 1.80165034323018
addition, 2.08433938573791
target, 1.96341290503003
addition, 2.76743499308529
addition, 2.21684416704571
target, 2.31684416704571
target, 1.86979204092991
addition, 3.77446820169406
target, 1.76490158969221
addition, 2.57134369730367
target, 1.44841617545704
addition, 1.69965365643661
target, 1.80418053762594
addition, 2.48750471315421
target, 1.7
addition, 6.8416345684117
target, 1.65694115908414
addition, 2.52054441851237
addition, 2.36842255077888
target, 2.46842255077888
target, 1.64168565264161
addition, 2.39826654564091
target, 1.57100889721493
addition, 2.8879884892618
target, 1.92187744047908
addition, 2.79725684951378
target, 1.56368922179662
addition, 2.57692020256773
target, 1.53821658540504
addition, 2.1382523439247
target, 2.08981311837
addition, 2.69312811871065
target, 1.69138873613359
addition, 2.70579185211395
target, 1.45630890579963
addition, 2.33505296807755
target, 2.22410024164471
addition, 3.34086008118386
target, 1.39574130787958
