task, time
addition, 2.23268941954773
target, 3.21411161301749
addition, 2.4560150540074
target, 3.42501155147133
addition, 2.56887825626208
target, 2.93453104063621
addition, 2.21709793193642
target, 2.51709793193642
addition, 3.52199440336775
target, 3.82199440336775
target, 3.5
addition, 6.14989502198775
addition, 2.81346749140515
target, 3.11346749140515
target, 2.35628805726557
addition, 2.98873986451281
target, 2.13223445969898
addition, 2.74549775003274
addition, 2.11379441746937
target, 3.49211184241711
target, 2.28966074980277
addition, 2.93007955127258
target, 2.82835726044925
addition, 3.08542916243859
addition, 1.64884517928867
target, 3.56439136668998
addition, 3.10059601631689
target, 3.43731250433109
target, 2.30885905726611
addition, 2.97298546950439
addition, 2.33198844588963
target, 3.60882735384284
target, 2.39384722945317
addition, 3.36059250276662
addition, 2.71774039214675
target, 3.65619166521319
addition, 3.06566384003595
target, 3.36566384003595
addition, 3.17826189004059
target, 3.59636883775196
addition, 1.86394715936389
target, 2.11411707764399
target, 2.62975424908672
addition, 2.92199123114695
addition, 3.20704884347302
target, 4.06991213836323
target, 2.79577175204302
addition, 3.6716481694563
addition, 1.98361261700636
target, 2.89450945950809
target, 1.96949594841801
addition, 2.15136214374745
addition, 2.86255630277283
target, 3.03526060285434
addition, 2.49518635326914
target, 2.87890258788266
addition, 2.29405704098506
target, 2.67934655792341
addition, 2.4964855935024
target, 2.97882956845827
addition, 1.83303631115889
target, 2.13303631115889
addition, 1.92004602181308
target, 2.95342247900522
target, 2.98959248866532
addition, 3.30465134976806
addition, 2.59934717436691
target, 4.0392441693234
target, 2.95272118041784
addition, 3.41213979772983
addition, 2.71808780998547
target, 2.7542981848126
addition, 1.91814848012419
target, 2.31504884782638
addition, 3.22935387555314
target, 3.52935387555314
target, 3.06635261109021
addition, 3.33853468650512
addition, 3.42787873785807
target, 3.72787873785807
addition, 1.98924436639623
target, 3.34209390725685
addition, 2.9446528523431
target, 3.63968670691378
target, 1.93864683230162
addition, 2.94431602864154
target, 3.07032570295365
addition, 3.21548073201088
addition, 2.766410655191
target, 4.00956566947679
target, 3.52841819771019
addition, 4.03377531843886
addition, 2.10718492603667
target, 3.26873504440887
addition, 3.36840803172837
target, 3.66840803172837
target, 3.6
addition, 7.78518450003415
target, 3.07835327967485
addition, 3.21657439181023
target, 3.02901082051595
addition, 3.18092693794224
target, 2.38134061511511
addition, 3.0799498284422
target, 3.19086372779516
addition, 3.4723337594392
addition, 2.6843161627451
target, 3.75776411811329
addition, 2.13333876317136
target, 3.05271194130117
addition, 2.38115688755597
target, 3.15026003171372
target, 2.20201256788132
addition, 2.5961389001113
addition, 3.41966024372564
target, 4.26175851729068
target, 3.45030987244976
addition, 3.6549965862381
addition, 2.62947318983033
target, 3.67346744402955
addition, 2.52330536995426
target, 3.01754279725067
addition, 2.63562314433484
target, 2.84876573357381
target, 3.23048569517741
addition, 3.26136461517609
addition, 2.16545346287097
target, 4.1394399391373
target, 2.08022993847073
addition, 2.67161058927485
addition, 2.83498621018419
target, 3.13498621018419
addition, 3.84852358866922
target, 4.14852358866922
