task, time
addition, 1.43813199517576
target, 1.94239345155521
target, 1.96590958168785
addition, 2.59981622466971
target, 1.86619049288993
addition, 2.33139216080054
addition, 1.47947161537812
target, 1.86738155589146
addition, 2.22367990357133
target, 2.52367990357133
addition, 2.22218225537295
target, 2.52218225537295
addition, 1.82788057349374
target, 2.12788057349374
addition, 1.76057519392738
target, 2.06057519392738
target, 1.94756025756697
addition, 2.53980576798319
addition, 2.47076647961993
target, 2.77076647961993
addition, 1.4992903327336
target, 1.69448962464604
addition, 1.82750213304229
target, 2.12750213304229
addition, 1.84498933094741
target, 2.14498933094741
addition, 2.18634385960395
target, 2.48634385960395
addition, 2.11747791776256
target, 2.41747791776256
target, 1.79335455218192
addition, 2.44826986518653
target, 1.73523129828378
addition, 2.00374490628163
addition, 1.2262206105914
target, 1.80169957800084
target, 1.6205298638299
addition, 2.0740008380865
addition, 1.59852163158185
target, 1.8571306090753
addition, 1.78596387943406
target, 1.89670704277279
addition, 0.994609658283364
target, 1.59627651146083
target, 2.06395792492215
addition, 2.56094255824189
addition, 1.6845349712815
target, 1.73552467268142
addition, 1.44207631626769
target, 1.53846327123578
target, 1.84020984768562
addition, 2.53553059093262
target, 1.98483148685286
addition, 1.99494292070724
target, 1.77235883469504
addition, 1.79132374217675
target, 1.75618764156052
addition, 2.90937184620899
addition, 1.6240819668886
target, 1.93942448867665
addition, 1.08802213159095
target, 2.04758718113932
target, 1.97549689121681
addition, 2.94712665470599
target, 1.70841115144709
addition, 2.30651170190635
addition, 1.88874660861404
target, 1.91268251042583
addition, 1.34165607774327
target, 1.80758230819889
addition, 1.63460691681552
target, 1.64428878623467
target, 1.53593941011582
addition, 2.4278309346464
target, 1.81398809858932
addition, 2.4186486717906
addition, 2.16641939009271
target, 2.46641939009271
addition, 1.33792302754274
target, 1.7685782070642
addition, 1.84251984597793
target, 1.94381865344836
addition, 2.29287290455858
target, 2.59287290455858
target, 1.85963844979988
addition, 2.59378372068915
addition, 1.8705804731369
target, 2.1705804731369
target, 1.65387270459377
addition, 7.37335783059773
addition, 1.84936471402648
target, 2.14936471402648
target, 1.67834378627482
addition, 2.22953468027373
target, 1.90684062948985
addition, 1.92017957893849
target, 1.73955785750662
addition, 3.38903719009322
addition, 1.55152939643837
target, 1.97143794918556
addition, 1.33236973821266
target, 1.7953297715172
addition, 1.82492427794622
target, 2.10004411373524
addition, 1.6910547114212
target, 2.03421234094524
target, 1.84528961295288
addition, 2.20316367040692
addition, 1.54717208651525
target, 1.94060635459206
addition, 1.86777377504543
target, 2.16777377504543
target, 1.66665126240591
addition, 2.79842877696089
target, 1.81952220804973
addition, 2.05506903280229
target, 1.76829625366563
addition, 2.5307086626615
addition, 1.1265846810793
target, 2.0331989121656
addition, 2.0822572074248
target, 2.3822572074248
addition, 1.81709522597028
target, 1.83965075987823
addition, 1.28626882809521
target, 1.99810153022542
addition, 1.67961909068091
target, 1.77865790361768
target, 1.82010547736103
addition, 2.43753581307836
addition, 1.86695622973524
target, 1.92594911006612
addition, 2.04422477983348
target, 2.34422477983348
target, 1.66290084622437
addition, 2.28486669314099
addition, 1.2627848974518
target, 1.86070062982463
target, 2.05871808813624
addition, 2.12511326680749
target, 1.7524710991561
addition, 2.27222419256763
target, 1.69173494855719
addition, 1.8332515838267
addition, 1.23975925523871
target, 1.80574990357523
target, 1.63681838684551
addition, 2.37195494756836
addition, 1.14350441907799
target, 1.80924253148531
target, 1.63232865227513
addition, 1.7987287723347
addition, 1.75281542070892
target, 1.77842273674431
addition, 0.925608978212464
target, 1.78634318604711
addition, 1.62821160515772
target, 1.92821160515772
target, 1.61193347197494
addition, 2.04228887679981
target, 1.55057545871718
addition, 2.28757117064854
addition, 0.991995701036691
target, 1.88633788408692
target, 1.65761355653051
addition, 2.24464367327008
target, 1.73630747907891
addition, 1.95167100752584
addition, 1.6160143016897
target, 1.65810457589083
addition, 1.33685401640347
target, 1.89966527734999
addition, 1.71845276294173
target, 1.75696335091083
addition, 1.32018317538195
target, 1.82791683869476
target, 1.93414568150357
addition, 2.51096827100367
addition, 1.62964092658876
target, 1.7165044664317
target, 1.71443493349035
addition, 2.33060725764764
addition, 1.93512190392419
target, 2.23512190392419
addition, 1.07188897791238
target, 1.94251192998623
target, 1.56204765022213
addition, 2.2248526269551
addition, 1.50527452547566
target, 1.80527452547566
addition, 1.04357278087843
target, 1.75603052119011
addition, 1.32748624518128
target, 1.70469112844638
target, 1.77057631498863
addition, 4.7744465133519
target, 1.78497180943459
addition, 2.54296826037145
target, 1.7848938101122
addition, 2.4379240429853
target, 2.15914405907359
addition, 3.03241170278097
addition, 1.02978648362842
target, 1.99896553026242
target, 2.15791700311193
addition, 2.95649911198614
target, 1.89592600094264
addition, 2.79116582564208
addition, 2.33817866570482
target, 2.63817866570482
addition, 1.22966725979658
target, 1.86195225291975
target, 1.87960231604379
addition, 2.29325513427432
target, 1.77297400542829
addition, 1.82849298228157
target, 1.88784412352608
addition, 2.00019231631322
addition, 1.46697216412219
target, 1.76697216412219
addition, 1.32780023654308
target, 1.8552545797817
addition, 1.42027945461211
target, 1.84329569566421
target, 1.94808235692424
addition, 2.59108118520855
target, 1.88492764174233
addition, 2.16866622393419
addition, 1.37378951828742
target, 1.86310016568494
addition, 2.13281293807227
target, 2.43281293807227
addition, 1.34622496435067
target, 1.98489125964531
addition, 1.74997112437013
target, 2.04997112437013
target, 1.53847456717048
addition, 2.01647728328299
addition, 1.07405438026344
target, 1.66014551370989
target, 1.5940763066822
addition, 2.6994771446901
target, 1.93381637431737
addition, 2.54087036289717
target, 2.15928238124825
addition, 2.8658031576867
target, 1.69938063876043
addition, 1.92309863375944
addition, 1.55041493965136
target, 1.73722977645651
addition, 1.3218388050504
target, 1.88127491951714
target, 1.72191693554684
addition, 2.47026292355655
addition, 2.2542723823149
target, 2.5542723823149
addition, 1.27997370871303
target, 1.74633309623714
addition, 1.6689709431803
target, 1.81430439679336
addition, 1.68421814111764
target, 1.98421814111764
target, 2.0584063299579
addition, 2.5710704720888
addition, 1.95904387900201
target, 2.04236460995894
target, 1.81842937077047
addition, 1.90998952821517
addition, 1.82757208468107
target, 1.85498029010895
target, 1.84371244451145
addition, 2.63390294452389
target, 1.56882234170584
addition, 1.98171821696441
addition, 1.18621140970093
target, 1.73700659639713
addition, 1.7955938649062
target, 1.88009329659731
target, 1.64854572421046
addition, 2.0615878909227
addition, 1.41889362474346
target, 1.92603796684341
addition, 1.81899084290906
target, 2.11899084290906
target, 1.48545429339292
addition, 2.22348352668624
target, 1.70925620546262
addition, 2.68717905610865
target, 1.84965497323568
addition, 2.85780190091089
addition, 1.65478330517125
target, 1.77382009813311
target, 1.65312054878181
addition, 2.19230695151388
addition, 1.41679324773802
target, 1.83691301413728
target, 1.90170275252739
addition, 2.00312758870876
target, 1.48331891210099
addition, 2.18945152986776
addition, 1.56776803220452
target, 1.74906429150071
addition, 1.67847354121275
target, 2.09211502234806
addition, 0.880320749257058
target, 1.80335707120797
target, 1.85291009129896
addition, 2.27252372614574
addition, 1.42916467978649
target, 2.01341304415432
addition, 2.02138769941653
target, 2.32138769941653
addition, 1.1180019207937
target, 1.65042663508922
addition, 1.93438803743178
target, 2.23438803743178
addition, 2.07225302672438
target, 2.37225302672438
target, 1.79583613790951
addition, 2.37221225268632
target, 1.88195409011113
addition, 2.81157688940673
addition, 1.33998801432006
target, 1.7161218962398
target, 1.92200598315079
addition, 2.45702475415056
target, 1.80527690566705
addition, 2.64083813985231
target, 2.07197911764758
addition, 2.55245347502598
addition, 1.69867955775304
target, 1.99867955775304
target, 1.78423220469044
addition, 2.78259182512584
addition, 1.41844883503951
target, 2.03780408060189
target, 1.72760432250377
addition, 2.16530169547675
target, 1.89909178395942
addition, 2.52837539854336
addition, 1.19517969307717
target, 1.75280943031711
addition, 1.56629456549574
target, 1.86629456549574
target, 1.93455366678274
addition, 2.56726890494895
addition, 1.90224840346462
target, 2.01757491804778
addition, 1.61697371535028
target, 1.92981032378927
target, 1.7378621242006
addition, 2.00628052053186
addition, 0.895864207918462
target, 1.67047955657824
target, 1.63013117591872
addition, 1.72139485286041
target, 1.98950653433331
addition, 2.64643266192777
addition, 1.63561176720566
target, 1.93561176720566
target, 1.88127952814754
addition, 2.33352446186318
target, 1.69065058628238
addition, 2.13870532880518
addition, 1.28830773942873
target, 1.77686188257119
addition, 1.69215203606967
target, 2.08329862694073
target, 1.72863221126905
addition, 2.46317979328552
addition, 1.27984807066876
target, 2.10472636055094
target, 1.56969902526073
addition, 1.8527184639962
target, 1.68063738173043
addition, 2.08330874522137
addition, 1.56738186613022
target, 1.86738186613022
addition, 1.85952828258756
target, 2.15952828258756
addition, 1.73373917998903
target, 2.03373917998903
target, 1.80177277269371
addition, 1.94027445105284
target, 1.64615653619625
addition, 1.98816887399522
target, 1.89392271821921
addition, 2.54062641990824
addition, 1.30400842017669
target, 1.60400842017669
target, 2.11246612445126
addition, 2.57492683402669
addition, 1.47127074472213
target, 1.93871861783732
addition, 1.51510618563737
target, 1.8871507680609
addition, 1.64953088946168
target, 1.96445789758983
target, 1.67121084326797
addition, 2.02365395031377
target, 1.80377090962868
addition, 2.23700202558706
target, 1.94888953254012
addition, 2.57551572026791
addition, 2.1251450314778
target, 2.4251450314778
addition, 0.898803537561445
target, 1.68234933875999
addition, 1.64179317477499
target, 2.15858127454688
target, 1.77552523185593
addition, 2.52045732268681
target, 1.74732307481885
addition, 3.39992736292788
addition, 1.56843063430043
target, 1.86843063430043
addition, 1.71832489629149
target, 2.01832489629149
addition, 1.14431925263433
target, 1.68928343815905
target, 1.96438354015788
addition, 2.44214368098093
addition, 1.93382628740274
target, 2.23382628740274
addition, 1.15311043083126
target, 2.02232254037378
target, 1.86311862304791
addition, 2.45233220656145
addition, 1.75807436521556
target, 1.90105044952191
target, 1.62434394111707
addition, 2.1708507582648
target, 1.75337909139398
addition, 2.45861685194066
addition, 1.39503666759088
target, 1.55499872772738
addition, 1.68214198002831
target, 1.98214198002831
addition, 1.64637400188219
target, 1.96643464516315
target, 2.54257089521501
addition, 3.13525108897811
addition, 1.79907602361537
target, 2.09907602361537
addition, 1.84409511942999
target, 2.14409511942999
addition, 1.75048599859437
target, 2.05048599859437
addition, 1.37643953194037
target, 1.7793096208113
addition, 1.96210021951624
target, 2.00596925991471
addition, 1.88858684674783
target, 2.18858684674783
addition, 0.925287274332086
target, 1.77842689480819
addition, 1.68705263059315
target, 2.09742480067013
addition, 1.28487790401984
target, 1.96518341000639
addition, 1.70169611340071
target, 1.75057366566341
addition, 1.39022588025347
target, 1.97122227371734
addition, 0.865258548148393
target, 1.6966047403626
addition, 2.14439458015486
target, 2.44439458015486
target, 1.78139622774553
addition, 2.22321519510397
target, 1.91369285603155
addition, 2.24683369649793
addition, 0.962855699826159
target, 1.63320896920434
