task, time
target, 2.47804786782435
addition, 3.4906472587433
target, 3.77082671518891
addition, 4.82383490079626
target, 2.1653207794243
addition, 3.30393322247243
target, 2.15659559693235
addition, 3.35855499686217
target, 2.53900247381669
addition, 3.42360483124505
target, 2.8392699428477
addition, 3.69546168913967
target, 2.63649336927585
addition, 3.57945710501855
target, 2.15793610664324
addition, 2.95142759288086
target, 2.20479684874217
addition, 3.59277223393117
target, 2.97141665695503
addition, 4.24394556287289
target, 2.79353783993532
addition, 3.78053981179573
target, 2.67694079497282
addition, 3.60701472431129
target, 2.33422366365453
addition, 3.47576645080291
target, 2.09725172850722
addition, 3.25568836118793
target, 2.77302732925139
addition, 3.56755745854311
target, 2.45661620133614
addition, 3.48775643042965
target, 2.69034223995365
addition, 3.540945490728
target, 2.62721642229135
addition, 3.83034347989227
target, 2.00437815772142
addition, 3.39044192087158
target, 2.99284290812625
addition, 3.92193678789592
target, 2.1562304562286
addition, 3.00561097980756
target, 2.72576114007128
addition, 3.73356378446406
target, 2.69863748487727
addition, 3.62126312298838
target, 2.10615815486901
addition, 3.76380374859309
target, 2.19396990658444
addition, 3.13027069157085
target, 2.25290149267208
addition, 3.44371389595914
target, 2.5121359170174
addition, 3.64945705941131
target, 2.65876318449156
addition, 3.69304463543267
target, 2.60026573948444
addition, 3.97246894703171
target, 2.27426809972353
addition, 3.24645710674663
target, 2.21490627912742
addition, 3.15896979385812
target, 2.67815227079842
addition, 3.64254768630146
target, 2.28789524506494
addition, 3.09182264188559
target, 3.96051863808534
addition, 5.71783694027614
target, 2.4609407001644
addition, 3.75383765689623
target, 2.16055299356326
addition, 3.20649892118177
target, 2.61901184960483
addition, 3.74495160587734
target, 2.50360081044159
addition, 3.26933690106496
target, 2.03167372668043
addition, 3.178320208942
target, 2.59757382198172
addition, 3.6147241492736
target, 2.30937520148074
addition, 3.0954771614585
target, 2.99790613863331
addition, 4.51877445496384
target, 2.98136283989122
addition, 3.90756389934161
target, 1.99541106306828
addition, 3.08221076904855
target, 2.8764495320802
addition, 3.99781249264666
target, 2.53159296072875
addition, 3.54388895324379
target, 2.88867149630289
addition, 3.73511234712585
target, 2.28290222113723
addition, 3.14225494274431
target, 7.88481786009494
addition, 8.65663348362632
target, 2.31240934533113
addition, 3.43972282958475
target, 2.68572761029573
addition, 3.8319533870466
target, 3.35255666638247
addition, 4.29121532690492
target, 2.25549847875893
addition, 3.1689607741669
target, 3.99760573332985
addition, 4.97691895832277
target, 2.49953142856464
addition, 3.32532809783116
target, 2.53765319680644
addition, 3.55323344538134
target, 2.44870024307464
addition, 3.52405285439006
target, 2.35849198646685
addition, 3.85660582019897
target, 3.43515118022655
addition, 4.47348758170253
target, 2.65263502546043
addition, 3.69630222002819
target, 2.82940253433384
addition, 3.93573593600064
target, 2.38144700781672
addition, 3.20817956915586
target, 2.69037180133933
addition, 3.47418166979348
target, 3.21436272166745
addition, 4.11117727088652
target, 2.6513877794106
addition, 3.59817347247218
target, 2.05015678899166
addition, 3.19904621010536
target, 2.46839143976771
addition, 3.65229878254286
target, 2.21823466239449
addition, 3.11777523013611
target, 3.33929467287451
addition, 4.44418318550314
target, 2.98900446541009
addition, 4.00727814811093
target, 2.12782029313354
addition, 3.13981952816354
target, 2.37026817755193
addition, 3.11973644509929
target, 2.16460036150567
addition, 3.05787041944544
target, 3.76193055518964
addition, 5.02906454842807
target, 3.82989122272141
addition, 4.98959075488563
target, 2.04738450855811
addition, 3.10328119252063
target, 2.62487414836973
addition, 3.94135219950666
target, 2.30472419190331
addition, 3.32701633792716
target, 3.20693896558159
addition, 4.4136081175099
target, 2.29918689450193
addition, 3.13930117705786
target, 2.11271626552904
addition, 2.9069085379272
target, 2.5637614070016
addition, 5.62662069098716
target, 2.46376234551411
addition, 3.43989364686202
target, 3.55078740411587
addition, 4.60243939295649
target, 2.32490253554573
addition, 3.43421760256046
target, 2.20283280213999
addition, 3.59565649332731
target, 2.60656751479584
addition, 3.78152906266861
target, 2.69617382200421
addition, 3.71773816827851
target, 2.66441630136324
addition, 3.62146497434202
target, 2.23968207655934
addition, 3.57055465627845
target, 2.08630961911559
addition, 3.43298659146399
target, 2.90368099763045
addition, 3.90596198279724
target, 2.82103115163281
addition, 3.9279147762262
target, 2.49303450918109
addition, 3.40326492767538
target, 2.4146800282766
addition, 3.32653791910139
target, 2.22235398434552
addition, 3.66256101514902
target, 2.53780871521245
addition, 3.29637116301842
target, 2.31489628468643
addition, 4.00610264965176
target, 2.81830422060025
addition, 3.85699514427904
target, 2.31630640041336
addition, 3.79932931317037
target, 2.28950948328857
addition, 4.15005800683211
target, 2.87318969258493
addition, 3.90947539720151
target, 2.26138743449
addition, 3.40945500902962
target, 2.77446387462734
addition, 4.51398462013133
target, 2.68717893434522
addition, 3.5629888478272
target, 2.30121764484361
addition, 3.57901252789712
target, 5.58808452634768
addition, 6.78880592940016
target, 2.02998122423483
addition, 2.97889561393761
target, 3.97784268749405
addition, 5.09449111467125
target, 2.51437207361929
addition, 3.3357315871319
target, 2.30143049914117
addition, 3.84237409438525
target, 2.31880204861804
addition, 3.35830522443732
target, 2.42540160788428
addition, 3.15624401976934
target, 2.71232520088914
addition, 4.51290264281077
target, 2.89516626210503
addition, 3.89262887024881
target, 3.00159972948789
addition, 4.46307061327977
target, 2.51672489802997
addition, 3.64089390960149
target, 2.27624651299407
addition, 3.10139784158436
target, 2.6414711304973
addition, 3.42126119516109
target, 2.56778198194632
addition, 3.61222666459915
target, 1.99479043031094
addition, 3.3049496104698
target, 2.41351292070614
addition, 4.61684635792667
target, 2.38258757578103
addition, 3.69593317894089
target, 2.81103332686958
addition, 3.72167471582033
target, 2.87892472186571
addition, 3.71768893701468
target, 2.2056907515613
addition, 3.68908041095891
target, 2.68694840988869
addition, 3.56301337534248
target, 2.26581585632097
addition, 3.09741384148627
target, 2.85627419755718
addition, 4.64126507909561
target, 2.14732350400594
addition, 2.93047873052685
target, 2.08451394047927
addition, 3.36777829011971
target, 2.55744601954656
addition, 3.42415612123836
target, 2.66242656313705
addition, 3.80435382007038
target, 3.02876879994205
addition, 3.9164420838044
target, 2.40533536494907
addition, 3.55373372822816
target, 1.88165886887727
addition, 3.01761065894762
target, 2.41709701461321
addition, 3.2018574853016
target, 2.45181965976794
addition, 3.52325645205662
target, 2.61861110593362
addition, 3.74759107297071
target, 2.25979094566236
addition, 3.54935543597482
target, 2.09075801951044
addition, 3.53157553285602
target, 2.36771378480959
addition, 3.34409721672858
target, 2.44592470952193
addition, 3.28313888666409
target, 4.67671127063052
addition, 5.75914467169019
target, 2.50979588979527
addition, 3.80400457239924
target, 4.63448456987511
addition, 5.48620929793982
target, 2.63350917764286
addition, 3.90993744330777
target, 3.81192288453801
addition, 5.27664013778921
target, 2.58883046314065
addition, 3.76261737604197
target, 2.79835834910524
addition, 3.90020846821167
target, 3.58077554103349
addition, 4.3815821171304
target, 2.88389642385595
addition, 3.81314457171092
target, 2.08160233304004
addition, 3.34967670562008
target, 2.41045888719088
addition, 3.11503699318361
target, 2.32350232174896
