type, prep, exec, finish
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.235540045187368, 0.285540045187368
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.2095512590948, 0.2595512590948
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.269977256051507, 0.319977256051507
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.251919142848453, 0.301919142848453
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.350375512745701, 0.400375512745701
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.110479020730519, 0.160479020730519
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.237754940219749, 0.287754940219749
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.351130913492108, 0.401130913492108
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.132723229143019, 0.182723229143019
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.291793871349362, 0.341793871349362
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.20602160912622, 0.25602160912622
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.285130605753719, 0.335130605753719
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.126931446739431, 0.176931446739431
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.204976511844497, 0.254976511844497
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.161129536250644, 0.211129536250644
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.279673451445673, 0.329673451445673
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.136712732229441, 0.186712732229441
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.335019067192946, 0.385019067192946
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.258066936332246, 0.308066936332246
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.262016540201313, 0.312016540201313
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.10130524129806, 0.15130524129806
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.300964914356207, 0.350964914356207
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.397151398960116, 0.447151398960116
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.299944026519012, 0.349944026519012
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.449462093502967, 0.499462093502967
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.235702092068376, 0.285702092068376
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.113441514523015, 0.163441514523015
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.103575954570815, 0.153575954570815
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.301319643096192, 0.351319643096192
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.236922292697592, 0.286922292697592
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.340936868714856, 0.390936868714856
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.267077202943997, 0.317077202943997
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.312402279449485, 0.362402279449485
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.160633266314511, 0.210633266314511
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.42570041179073, 0.47570041179073
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.171941560410961, 0.221941560410961
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.112908379086297, 0.162908379086297
click-mouse, 0.15, 0.01, 0.1
